Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;Comment
;;Name (simplified);Name (in model and documents);[Meuro/GW] [Meuro/GWh] [Meuro/(Mkmpass/h)] [Meuro/(Mtonkm/h)];[Meuro/GW] [Meuro/GWh] [Meuro/(Mkmpass/h)] [Meuro/(Mtonkm/h)];[ktonCO2_eq/GW] [ktonCO2_eq/GWh] [ktonCO2_eq/(Mkmpass/h)] [ktonCO2_eq/(Mtonkm/h)];[years];[];[];[];[GW];[GW];
Synthetic fuels;Synthetic fuels;Lignocellulosic biomass gasification;BIOMASS_TO_METHANE;2743.8056;139.9381965;0;25;0.85;0;1;0;0;
Synthetic fuels;Synthetic fuels;Biowaste gasification;BIOWASTE_TO_METHANE;2743.8056;190.3159472;0;25;0.85;0;1;0;0;
Synthetic fuels;Synthetic fuels;Hydrogen methanation;SYN_METHANATION;262.2;66.99276316;0;40;1;0;1;0;0;
Synthetic fuels;Synthetic fuels;Wet biomass methanation;BIOMETHANATION_WET_BIOMASS;986.0473827;13.65909091;0;20;0.8449;0;1;0;0;
Synthetic fuels;Synthetic fuels;Biowaste methanation;BIOMETHANATION_BIOWASTE;986.0473827;13.65909091;0;20;0.8449;0;1;0;0;
Synthetic fuels;Synthetic fuels;Lignocellulosic biomass pyrolysis to gasoline (and diesel);BIOMASS_TO_GASOLINE;5608.0092;166.9735;0;25;0.91;0;1;0;0;
Synthetic fuels;Synthetic fuels;Fischer Tropsch Ligno Diesel;BIOMASS_TO_DIESEL;5608.0092;166.9735;0;25;0.91;0;1;0;0;
Synthetic fuels;Synthetic fuels;Fischer Tropsch Ligno Jet fuel;BIOMASS_TO_JET_FUEL;5608.0092;166.9735;0;25;0.91;0;1;0;0;
Synthetic fuels;Synthetic fuels;Lignocellulosic biomass pyrolysis to LFO;BIOMASS_TO_LFO;5608.0092;166.9735;0;25;0.91;0;1;0;0;
Synthetic fuels;Synthetic fuels;Biowaste pyrolysis to gasoline (and diesel);BIOWASTE_TO_GASOLINE;5608.0092;227.08396;0;25;0.91;0;1;0;0;
Synthetic fuels;Synthetic fuels;Fischer Tropsch bio waste Diesel;BIOWASTE_TO_DIESEL;5608.0092;227.08396;0;25;0.91;0;1;0;0;
Synthetic fuels;Synthetic fuels;Fischer Tropsch bio waste Jet fuel;BIOWASTE_TO_JET_FUEL;5608.0092;227.08396;0;25;0.91;0;1;0;0;
Synthetic fuels;Synthetic fuels;Biowaste pyrolysis to LFO;BIOWASTE_TO_LFO;5608.0092;227.08396;0;25;0.91;0;1;0;0;
Synthetic fuels;Synthetic fuels;Diesel to jet fuel;DIESEL_TO_JET_FUEL;0;0;0;25;1;0;1;0;0;
Synthetic fuels;Synthetic fuels;Carbon capture atmospheric;ATM_CCS;5160;128.088;0;40;1;0;1;0;0;
Synthetic fuels;Synthetic fuels;Carbon capture from industry;INDUSTRY_CCS;2580;64.044;0;40;1;0;1;0;0;
Synthetic fuels;Synthetic fuels;Hydrogen methanolation;SYN_METHANOLATION;0;0;0;20;0.95;0;1;0;0;
Synthetic fuels;Synthetic fuels;Methane to methanol;METHANE_TO_METHANOL;0;0;0;25;0.85;0;1;0;0;
Synthetic fuels;Synthetic fuels;Biomass methanolation;BIOMASS_TO_METHANOL;0;0;0;20;1;0;1;0;0;
Synthetic fuels;Synthetic fuels;Biowaste methanolation;BIOWASTE_TO_METHANOL;0;94.248;0;20;1;0;1;0;0;
Synthetic fuels;Synthetic fuels;Haber bosch (H2 to amonia);HABER_BOSCH;0;0;0;20;1;0;1;0;0;
Synthetic fuels;Synthetic fuels;Fischer-Tropsch P2L Gasoline;POWER_TO_GASOLINE;2989.214183;182.7905442;0;25;0.91;0;1;0;0;
